,date,portfolio_value,total_buy_cost,total_sell_value,net_flow,balance,asset_valuation
987,2024-01-02,626313.01,35107.809,53455.699,18347.89,1205481.9019999995,1831794.9119999995
988,2024-01-03,628654.55,47525.36,0.0,-47525.36,1157956.5419999997,1786611.0919999997
989,2024-01-04,629430.97,0.0,0.0,0.0,1157956.5419999997,1787387.5119999996
990,2024-01-05,628352.71,0.0,0.0,0.0,1157956.5419999997,1786309.2519999996
991,2024-01-08,626737.7,0.0,0.0,0.0,1157956.5419999997,1784694.2419999996
992,2024-01-09,636224.61,0.0,0.0,0.0,1157956.5419999997,1794181.1519999998
993,2024-01-10,646877.35,0.0,0.0,0.0,1157956.5419999997,1804833.8919999995
994,2024-01-11,639593.78,0.0,0.0,0.0,1157956.5419999997,1797550.3219999997
995,2024-01-12,633955.79,0.0,120710.017,120710.017,1278666.5589999997,1912622.3489999997
996,2024-01-15,515367.68,0.0,36175.333,36175.333,1314841.8919999995,1830209.5719999995
997,2024-01-16,474813.82,0.0,0.0,0.0,1314841.8919999995,1789655.7119999996
998,2024-01-17,476305.63,0.0,0.0,0.0,1314841.8919999995,1791147.5219999994
999,2024-01-18,476690.41,0.0,0.0,0.0,1314841.8919999995,1791532.3019999994
1000,2024-01-19,570410.55,90378.017,0.0,-90378.017,1224463.8749999995,1794874.4249999996
1001,2024-01-23,553430.14,0.0,0.0,0.0,1224463.8749999995,1777894.0149999997
1002,2024-01-24,701393.98,134062.7,37343.919,-96718.78100000002,1127745.0939999996,1829139.0739999996
1003,2024-01-25,673353.09,0.0,0.0,0.0,1127745.0939999996,1801098.1839999994
1004,2024-01-29,683535.59,0.0,0.0,0.0,1127745.0939999996,1811280.6839999994
1005,2024-01-30,686367.98,0.0,136534.594,136534.594,1264279.6879999996,1950647.6679999996
1006,2024-01-31,575843.52,0.0,0.0,0.0,1264279.6879999996,1840123.2079999996
1007,2024-02-01,574414.78,0.0,0.0,0.0,1264279.6879999996,1838694.4679999996
1008,2024-02-02,572810.38,0.0,0.0,0.0,1264279.6879999996,1837090.0679999995
1009,2024-02-05,579673.37,0.0,0.0,0.0,1264279.6879999996,1843953.0579999997
1010,2024-02-06,585491.16,0.0,0.0,0.0,1264279.6879999996,1849770.8479999998
1011,2024-02-07,635684.65,36168.189,0.0,-36168.189,1228111.4989999996,1863796.1489999997
1012,2024-02-08,696100.38,66129.048,0.0,-66129.048,1161982.4509999997,1858082.8309999998
1013,2024-02-09,684274.67,0.0,109034.066,109034.066,1271016.5169999995,1955291.1869999995
1014,2024-02-12,553286.59,0.0,50255.991,50255.991,1321272.5079999994,1874559.0979999993
1015,2024-02-13,845291.98,341613.022,0.0,-341613.022,979659.4859999996,1824951.4659999995
1016,2024-02-14,860289.22,0.0,0.0,0.0,979659.4859999996,1839948.7059999995
1017,2024-02-15,875285.17,0.0,0.0,0.0,979659.4859999996,1854944.6559999995
1018,2024-02-16,881148.19,0.0,25311.988,25311.988,1004971.4739999996,1886119.6639999994
1019,2024-02-19,862155.66,0.0,0.0,0.0,1004971.4739999996,1867127.1339999996
1020,2024-02-20,859044.87,0.0,0.0,0.0,1004971.4739999996,1864016.3439999996
1021,2024-02-21,839978.83,0.0,0.0,0.0,1004971.4739999996,1844950.3039999995
