,symbol,date,price_adj,order_type,quantity,commision_cost,total_cost,balance
4498,EMIL,2024-08-19,239.3604,Sell,8,5.1462486,1909.7369514,258155.95258145567
4499,SBGLP,2024-08-19,128.66120999999998,Sell,3,4.310150535,381.67347946499996,258537.62606092068
4500,KBCGLOBAL,2024-08-19,1.6616599999999997,Buy,3416,2.83811528,5679.068675279999,252858.55738564068
4501,MFSL,2024-08-20,998.3473499999999,Buy,21,10.482647174999999,20975.776997174995,231882.78038846568
4502,TRIVENI,2024-08-20,465.19434,Sell,4,10.23427548,1850.54308452,233733.32347298568
4503,NAM-INDIA,2024-08-20,712.2969899999999,Sell,3,9.616009365,2127.274960635,235860.59843362067
4504,PRAJIND,2024-08-20,759.24,Sell,2,8.73126,1509.74874,237370.34717362068
4505,SRPL,2024-08-20,1.001,Buy,10675,5.3428375,10691.0178375,226679.3293361207
4506,VINNY,2024-08-20,5.68431,Sell,3518,5.27503968,19992.127540319998,246671.45687644067
4507,CHOICEIN,2024-08-21,425.52405,Sell,38,11.9146734,16157.999226599999,262829.45610304066
4508,MAZDOCK,2024-08-21,2094.2921999999994,Buy,9,9.424314899999997,18858.054114899995,243971.40198814066
4509,GRSE,2024-08-21,1726.6316399999998,Sell,2,7.769842379999999,3445.49343762,247416.89542576065
4510,ALLCARGO,2024-08-21,65.0349,Sell,4,6.7636296,253.37597039999997,247670.27139616065
4511,SALASAR,2024-08-21,19.5804,Sell,32,6.089504400000001,620.4832956,248290.75469176064
4512,GANGAFORGE,2024-08-21,7.4925,Sell,513,5.8816125,3837.7708875,252128.52557926063
4513,NESTLEIND,2024-08-22,2546.13132,Sell,2,7.638393959999999,5084.62424604,257213.14982530064
4514,HDFCAMC,2024-08-22,4390.65495,Sell,2,6.585982425,8774.723917575,265987.87374287564
4515,PRECWIRE,2024-08-22,171.68814,Sell,13,6.95336967,2224.99245033,268212.86619320564
4516,SHRIRAMPPS,2024-08-22,124.5753,Sell,78,6.04190205,9710.831497950001,277923.69769115566
4517,TATATECH,2024-08-22,1035.4635,Sell,1,5.69504925,1029.76845075,278953.46614190564
4518,GANDHAR,2024-08-22,220.2795,Sell,80,5.83740675,17616.52259325,296569.9887351556
4519,ALOKINDS,2024-08-22,28.20177,Sell,426,5.541647804999999,12008.412372195,308578.4011073506
4520,TRU,2024-08-22,53.946,Sell,56,3.77622,3017.1997799999995,311595.6008873506
4521,TITAN,2024-08-23,3607.83855,Sell,5,12.627434925,18026.565315074997,329622.1662024256
4522,SHYAMMETL,2024-08-23,812.0171700000001,Sell,1,12.180257550000002,799.8369124500001,330422.0031148756
4523,EMBDL,2024-08-23,142.3575,Sell,10,10.534455,1413.0405449999998,331835.0436598756
4524,JTLIND,2024-08-23,111.24864,Sell,99,10.40174784,11003.21361216,342838.2572720356
4525,GREENPOWER,2024-08-23,22.05792,Sell,54,8.44818336,1182.67949664,344020.9367686756
4526,ARSHIYA,2024-08-23,5.61438,Sell,779,7.0460468999999994,4366.555973099999,348387.4927417756
4527,IGL,2024-08-26,260.97070999999994,Buy,284,37.05784081999999,74152.73948081998,274234.7532609556
